Sygnatura czasowa,author,Cyfrowy wsizerunek pracy (prosimy o podpisanie prac imieniem i nazwiskiem lub pseudonimem):,title,type,format,"Inne technikalia (wszystko, czym chciał*byś się z nami podzielić): ",Czy chcesz przesłać kolejną pracę?,Cyfrowy wizeqrunek pracy (prosimy o podpisanie prac imieniem i nazwasdiskiem lub pseudonimasdem):,title2,type2,format2,"Innae technikalia (wszystko, czym chciał*byś się z nami podzielić): ",Czy chcesz przesłać asdkolejną pracę?,Cyfrowy wizerasdunek pracy (prosimy o podpisanie prac imieniem i nazwiskiem lub pseuasddonimem):,title3,type3,format3,"Inne tecasdhnikalia (wszystko, czym chciał*byś się z nami podzielić): "
2022-10-20 08:51:52,OTOOKA,"https://drive.google.com/open?id=1gLm5KELcSCd3-ct3BNk2LTCVXcuJ8Zpm, https://drive.google.com/open?id=1R9JMqNnJzuPH_lpIP4XhdUKCHVSVNRhV, https://drive.google.com/open?id=1ihceafRmm96xG7bFivHMLu9VbE8KZHwJ, https://drive.google.com/open?id=1NyUrWo2ofizZGz_znhxT5NwY7Gx-Miq7, https://drive.google.com/open?id=19PPo6ZVIZaRA6hfDqMh8Ykk_Yf9Drve8",Psie stworzenie,Ceramika,"12,6 cm x 8,5 cm x 7 cm","Rzeźba wykonana ręcznie z jasnej gliny z ""piegami"", ozdobiona angobami, pokryta szkliwem transparentnym, wypalona w temperaturze 1200 °C.","Nie, wyślij formularz",,,,,,,,,,,
2022-10-20 12:20:46,Ewa Ziembicka,"https://drive.google.com/open?id=1a9EmwSDuCU4Cce3Oy5RFiRw4a_5iy9-D, https://drive.google.com/open?id=12vGQXYWKgnRFNZcqeaHPsoX5VmjvfX9b",Happy Pug,Inne,253 x 253 mm,"Kolaż przestrzenny ze szczęśliwym mopsikiem w czapeczce, w otoczeniu balonów. Jego cechą szczególną jest, to że powoduje niekontrolowany uśmiech i nie da się przejść obok niego obojętnie.
Kolaż papierowy wycięty z gazet i papieru, sklejony z passe partout. Baloniki zamocowane na srebrnych drucikach. Kolaż jest instalacją kompletną. ","Nie, wyślij formularz",,,,,,,,,,,
2022-10-21 09:50:21,Aleksandra Drobot,https://drive.google.com/open?id=1EcqZtUpj6tCRkz0_-yYW631xq3AQO0up,"pieski, kotki, koniki",Grafika,50x70 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-21 17:22:59,Mary Zaleska,https://drive.google.com/open?id=1OZnsqTgx2IL3NxWGCYZwzubLRA2sJVQK,Lounge,Grafika,40x50 cm,Digital Art,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-21 18:08:10,Jagoda Stączek BLUEBERRYTHINKS,https://drive.google.com/open?id=1hrNKVo9BneAG8pkLXx5DVGd2NWSvq5hP,"Charcik wersja III, 4/30",Grafika,30x40,"linoryt kolorowy , limitowany","Nie, wyślij formularz",,,,,,,,,,,
2022-10-21 19:28:07,Cynamon Studio,"https://drive.google.com/open?id=1608pp7fik9efE34MYhjql8Aqcl2mAhKu, https://drive.google.com/open?id=1vLe1Xf822WIR2t3mvfUBqGWANaWZNbwo",Happy,Ceramika,"Średnica ok. 23 cm, wys. 2 cm.","Talerz z motywem pieska marzyciela, malowany farbami podszkliwnymi. Dodatkowo zdobiony miętowym szkliwem, z czarnymi drobinkami. Wykonany z wysokiej jakości kremowej gliny, 100% handmade. Wypalany dwukrotnie, szkliwiony jednostronnie, sygnowany. Zastosowane szkliwo nadaje się do kontaktu z żywnością.
Talerz można myć w zmywarce.","Nie, wyślij formularz",,,,,,,,,,,
2022-10-22 12:23:59,Hania Kmieć,https://drive.google.com/open?id=1eHnY-zxhTqJDIYTHkNKPs1Og1WR5gJy-,Pimpuś the Kid,Grafika,30 cm x 30 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-23 23:09:25,Magda Wolna,https://drive.google.com/open?id=1hINhupTm10ETgUnMzeKWwnl7NcM5oujc,Sabinka z dużą świnią,Inne,A3,"Praca oryginalna, technika własna, farby drukarskie","Nie, wyślij formularz",,,,,,,,,,,
2022-10-24 09:38:05,Katarzyna Kaffka,https://drive.google.com/open?id=1fpyavT4vOMwCaJAcyw9b3EJN492G-T9c,Kot,Grafika,50x70cm,,Tak,https://drive.google.com/open?id=142cN64gU1vU3YzXbTpHKTBADml4hPNbb,Pies,Grafika,50x70cm,,"Nie, wyślij formularz",,,,,
2022-10-24 11:40:51,Kate Glowacky,"https://drive.google.com/open?id=1r5BL7nWIjTDDuVUeaXd50MgzoECYI8q8, https://drive.google.com/open?id=1BZDnRpp9UBbomYpmgi06SvJ4TcTiBFsj, https://drive.google.com/open?id=1hmiZ5NLBstYyKAbUNZ-rH6YozoKKvFLT",Sonchifolia,Grafika,50x70 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-24 14:23:53,"Monika Smetaniuk, Bazgram Sobie",https://drive.google.com/open?id=13YvgTmDsrTHaloI1Ybs9xBUbSBkRhLj6,Na grzybach z Lisem Polarnym,Grafika,a3,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-24 15:56:29,Paweł Szlotawa,https://drive.google.com/open?id=1aK702Q5aYHLMHRe6JWcOYb3-8fWhfqRR,Psi detektyw,Inne,50x70,"Rysunek tradycyjny, reprodukcja cyfrowa","Nie, wyślij formularz",,,,,,,,,,,
2022-10-25 08:56:57,Maria Antonina Mazurek,"https://drive.google.com/open?id=1H4dG_opGScjIni56ULoXy3eAyUEGzBd1, https://drive.google.com/open?id=1j-SMSNgkZ0gGI5Dz-VdpTy7WwZS7vAAO",Kotki psotki,Grafika,A3,Prace do wylicytowania w duecie :) Jeśli potrzeba obie grafiki na jednym obrazku to proszę o kontakt :) ,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-25 13:02:28,Nora Potwora,"https://drive.google.com/open?id=1g3oENlJRpkYCSDGBlLow727kRj6PUuDL, https://drive.google.com/open?id=1T09MgF6oSHiUbai6zplz2Oo7qnK7wSmC",Hibiscus Tiger,Inne,40x50cm,"Wydruki są wykonane techniką druku pigmentowego, na papierze o bardzo delikatnej fakturze o gramaturze 200g.

Druk pigmentowy gwarantuje najwyższą jakość druku cyfrowego. Charakteryzuje się wyrazistością szczegółów, wiernym oddaniem kolorów, a także wieloletnią trwałością - producent szacuje trwałość tuszy na około 80 lat. Dzięki temu druk jest odporny zarówno na warunki wewnętrzne, jak i na działanie słońca. W połączeniu z matowym papierem gwarantuje to najwyższą jakość wrażeń wizualnych - wydruk nie błyszczy się, a wszystkie szczegóły są dobrze widoczne pod każdym kątem.",Tak,"https://drive.google.com/open?id=1jjGU0h4AEcPOxw2RGItzrBt_zSv0-Vnc, https://drive.google.com/open?id=1gqsrjCTB5OUSCWpIxUCECwzCYd-mko3C",Spotted Blooms,Inne,40x50cm,"Wydruki są wykonane techniką druku pigmentowego, na papierze o bardzo delikatnej fakturze o gramaturze 200g.

Druk pigmentowy gwarantuje najwyższą jakość druku cyfrowego. Charakteryzuje się wyrazistością szczegółów, wiernym oddaniem kolorów, a także wieloletnią trwałością - producent szacuje trwałość tuszy na około 80 lat. Dzięki temu druk jest odporny zarówno na warunki wewnętrzne, jak i na działanie słońca. W połączeniu z matowym papierem gwarantuje to najwyższą jakość wrażeń wizualnych - wydruk nie błyszczy się, a wszystkie szczegóły są dobrze widoczne pod każdym kątem.","Nie, wyślij formularz",,,,,
2022-10-25 14:20:24,Pracownia Kurpiowska,https://drive.google.com/open?id=1vn3TxB3VnmopruxZd_3aFdKmkYf_4D7F,Wywczas,Grafika,A3,Praca na grubej kartce papieru o gramaturze 300g/m,Tak,https://drive.google.com/open?id=1nsCtUGOKsfutJ9lPf8Ocq-iaBqQ87dQg,Spacerkowce,Grafika,A3,Praca na grubej kartce papieru o gramaturze 300g/m,"Nie, wyślij formularz",,,,,
2022-10-25 14:57:01,Viktoria Górko,https://drive.google.com/open?id=1jGVAyZLvK7XPVVsuAiaegLtNdBnPqLOw,Lazy but very cool,Inne,45x49cm,Plakat tekstylny/proporczyk - digital art drukowany na kodurze ,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-25 19:48:43,Marianna Sztyma,https://drive.google.com/open?id=1tovO-aZmRfKcqmEQwVdE4gtqWLlrFQcz,Lotta ,Inne,"21/29,5 cm","Technika: farby akrylowe, kolaż, kredki na papierze. Ilustracja z książki LOTTA, napisanej przez Zofię Stanecką, Wydawnictwo Kropka.","Nie, wyślij formularz",,,,,,,,,,,
2022-10-25 21:26:17,Katarzyna Majewska-Kremska,https://drive.google.com/open?id=1Vd8w4ECQqq9xScp5YD9QlIlMF774FxEQ,Pieski,Malarstwo,A3,praca wykonana w technice gwaszu,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-26 11:11:28,Magda Kubiak/ Dziki las collages,https://drive.google.com/open?id=1xt4_iHSC3G22pFv-qxMztBsc9TqzbsYx,Wpadłam z kawką.,Grafika,50x70,Plakat wydrukowany na papierze Mohawk Eggshell 148g. ,Tak,https://drive.google.com/open?id=1I3u9cKWL6EOek5hNLxWn5hbCm4qfqzIj,Foch?,Inne,50x70,"Plakat wykonany w technice kolażu, wydrukowany na papierze Mohawk Eggshell 148g.",Tak,https://drive.google.com/open?id=1Zn0YpYgF1tntmGmfiOPB-sNOel60DPkJ,Kocilla,Inne,50x70,Praca wykonana w technice kolażu. Plakat drukowany na papierze Mohawk Eggshell 148g. 
2022-10-26 11:34:55,Nieszka Skłodowska,https://drive.google.com/open?id=1wjSYyv18EYF1v_Q68AO-zTZAku7T0n4W,Beware of dog,"Grafika, Inne",30x30cm,Kolaż digitalowy stworzony z elementów archiwalnych oraz fotografii,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-26 15:32:20,Aleksandra Łysiak-Szumska/ Jeleniara,https://drive.google.com/open?id=1kSZnVCFWyITDAxRLsCO65AbFmmoDCT-L,The Morning Rat,Inne,420x594 mm (A2),"""The Morning Rat"" to ilustracja cyfrowa, narysowana ręcznie za pomocą tabletu graficznego. Jej fizyczna wersja ma format A2 i została wydrukowana w technice druku atramentowego na papierze matowym o gramaturze 180 gsm. Ilustracja przedstawia jednego z moich szczurków  w otoczeniu wzorów inspirowanych polskim folklorem.","Nie, wyślij formularz",,,,,,,,,,,
2022-10-26 18:25:02,Dorota Bujak,https://drive.google.com/open?id=1TOWYrpQYlHhEdLdxaQz1NWkGBgBzXdua,Pierwszy człowiek i psy Ulgena,Grafika,50x70 cm ,"monotypia, grafika cyfrowa ","Nie, wyślij formularz",,,,,,,,,,,
2022-10-26 19:42:06,Lena Solo,https://drive.google.com/open?id=1n6z6tV7cSLUYbFJUejGZmb-Kfpu4vXr3,Unu,Inne,"21x29,7 cm (A3)",ilustracja cyfrowa,Tak,https://drive.google.com/open?id=11pmFSp_lAeUESsRmpfn4todlG-MP00TW,Koteiny II,Inne,"21x29,7 (A3)",ilustracja cyfrowa,"Nie, wyślij formularz",,,,,
2022-10-26 20:45:13,Sylwester Kluszczyński,https://drive.google.com/open?id=1Sp-vzKPt4ABXgTZbjW9_IypZK2Br3ShG,Irbis ,Grafika,50cm x 70cm ,Ilustracja została wykonana cyfrowo,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-27 11:05:52,Martyna Szulakiewicz-Gaweł (Dogografia),https://drive.google.com/open?id=13VVPuacKkNNyAMAuoOFvW7ZtLaM-Ls06,Voucher na plenerową sesję zdjęciową pupila,Fotografia,10x15,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-27 13:37:39,Sonia Dubois,"https://drive.google.com/open?id=1bG-zY87vf1l0Hl16hWxh1jCW7DQVy_Og, https://drive.google.com/open?id=1kuMBKt42Z1jmKmNoeSvqAPO5zXCIDXs4, https://drive.google.com/open?id=1Zlga6llVRhMJZBfA2F_p7rghpZb1-WhG, https://drive.google.com/open?id=1SfeecWZvkC8i9t_W9XetG-JF-tdimoIh, https://drive.google.com/open?id=13l31r0uOWhBRxp3YoiJrmAig7L7DjJ_M",Benio,Grafika,"rama: 36x46 cm, druk: 30x40 cm","Linoryt, kolor: ultramaryna, seria: 1/1","Nie, wyślij formularz",,,,,,,,,,,
2022-10-27 13:56:08,Monika Sikorska (MONIfaktura),"https://drive.google.com/open?id=1GBHiu6FDA9mYqMyvnY0JXmISsOedP5Xe, https://drive.google.com/open?id=1PvS6mv1zDOL3FAPjKdv1IveEkeC1Lc3z, https://drive.google.com/open?id=1HeZTEtm939xdfoxdBMVH8-AKVA4YQuTo","""PSIA KREW"", czarka ceramiczna ",Ceramika,8 x 9 cm,"Czarka jest lepiona i szkliwiona ręcznie, dlatego na próżno w niej szukać idealnych kształtów- ale z pewnością znajdziesz w niej pewną historię i ślady moich dłoni ;) Można myć w zmywarce. ","Nie, wyślij formularz",,,,,,,,,,,
2022-10-27 16:22:55,Ola Szczepaniak,https://drive.google.com/open?id=1GJV79bBFYLB63_Rt_kImWs6Us2V3AZc-,Pieski,Grafika,30 x 40 cm,"Szkic pracy powstał jako analogowy kolaż, a następnie został zeskanowany i przerobiony cyfrowo","Nie, wyślij formularz",,,,,,,,,,,
2022-10-28 10:49:15,Justyna Bojczuk,https://drive.google.com/open?id=11xLtsKsEjqtWlgwuNBHtjTLuDEMtDvxE,Pieskie życie mini,Grafika,30x40,Grafika wykonana techniką linorytu. ,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-28 14:25:34,Magda Chołaścińska/ atogrzywa,https://drive.google.com/open?id=13WUy_GyclC33E74xDKHiyxO18KlXrVID,Portret Twojego pupila,Grafika,wersja elektroniczna portretu (50x70 cm),,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-28 14:57:54,Katarzyna Roman,https://drive.google.com/open?id=12fS3fNFOc-CxcbYLH_6s8mDoOgjVXRkJ,Pani Jesień,Grafika,A4 - 297x210 mm,"“Pani Jesień” to dumny łabędź, o leśnej koronie oraz dębowej kolii, czyli jesiennymi atrybutami.
Ta malownicza hybryda łączy florę i faunę i w ten sposób zaprasza do śnienia na jawie.
Grafika wykonana jest w technice linorytu, która polega na wydrążeniu ilustracji w twardym materiale jakim jest linoryt i przy pomocy prasy drukarskiej, odbiciu ilustracji. Każda grafika jest numerowana i sygnowana. ","Nie, wyślij formularz",,,,,,,,,,,
2022-10-28 15:13:02,Zosia Lasocka,https://drive.google.com/open?id=1fqEipsjsFy9WqaMR6PHCxRwQRvfsw2fK,Pobaw się ze mną!,Grafika,30x40 cm,"Muszę jeszcze zrobić próbę wydruku - doślę Wam w przyszłym tygodniu szczegóły, na jakim papierze będzie praca","Nie, wyślij formularz",,,,,,,,,,,
2022-10-28 16:19:11,Alina Tyshchuk,https://drive.google.com/open?id=1tZS3tnFCUAZPju4QNwYLafVAksFeg81w,Rooster,Grafika,210x297 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-28 21:03:16,Gusia Szlachciak,https://drive.google.com/open?id=13qsqjkYBot1ZvhvurPz48viyHK3bEdir,Kocimiętka,Inne,50cm x 70cm,"Jedyny i unikatowy wydruk kolażu analogowego w formie plakatu B2 (praca ta nie będzie nigdy w sprzedaży, poza aukcją charytatywną PetPortrait)","Nie, wyślij formularz",,,,,,,,,,,
2022-10-29 03:03:58,Kasia Kozakiewicz,https://drive.google.com/open?id=1HZe79GbmscNpruPr15-7G0EyoIu0si_B,"My, zwierzęta",Grafika,30 x 40 cm,"Rysunek cyfrowy, druk pigmentowy","Nie, wyślij formularz",,,,,,,,,,,
2022-10-29 11:37:36,Natalia Koniuszy ,https://drive.google.com/open?id=13I4B1bVerA_Kc6nQeGkkLP-LP42VYib_,Mori,Grafika,50x70 cm,Kolaż cyfrowy ,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-30 14:14:08,Agata Małecka,"https://drive.google.com/open?id=17_ECiZcw3XvEqP_cH-ssadc5g7-GBlHs, https://drive.google.com/open?id=1RIvK0CHkIAlw0Xl8u0hw3-YkCirL53q6",Niech żyją na wolności,Grafika,500x700 mm,Wydrukowany na bezdrzewnym papierze premium o gramaturze 148g i strukturze imitującej skorupkę jajka.,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-30 15:50:37,Kasia Worek,https://drive.google.com/open?id=1KZuD0YDH7b8G4jZZOp36WJNnZAkt3Vf4,Pieska noc,Grafika,50 x 70 cm,Wydruk cyfrowy ,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-30 17:08:15,Michał Stępień,https://drive.google.com/open?id=1lyroEqh45zG23x7y6A5t0G-iqrAP2dEu,Podaj dłoń,Grafika,"A3 - 42 cm x 29,7 cm",,Tak,https://drive.google.com/open?id=18eRU1aiCkKGXjN3fb6YfpvsuTOOqrdc2,Koty,Grafika,"A3 42 cm x 29,7 cm",,"Nie, wyślij formularz",,,,,
2022-10-30 17:36:16,Klaudia  Polak,https://drive.google.com/open?id=1EN5sT-mNE9wESeXM_9fZFPMA93us-z1r,Przyjaciele,Grafika,30x40cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-30 19:02:21,Anna Jeziorska,https://drive.google.com/open?id=1k77dhg7PdORNRlp-ZwaktGvL5GdFGrUY,Pieska pogoda,Grafika,40x50 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-30 21:10:26,Eliza Banaś/ ezopowa,https://drive.google.com/open?id=1nwHqIk8ilA4_wU3GVj4aEp5LpGXBmvUd,Pies na budę,Grafika,A2 (420x594mm),,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 07:05:54,Natalia Anna Łęcka,https://drive.google.com/open?id=1T0H1sTanGbMk5Ndha-W0BpPiqG5MCoXE,Mooncat,Grafika,50x70 cm,Praca wykonana metodą kolażu,Tak,https://drive.google.com/open?id=1fiVdbxyrOC8hV-BRhU1eIhZLXNrQXPac,Łowca ptaków ,Grafika,50x70cm,Praca wykonana techniką kolażu,Tak,https://drive.google.com/open?id=1GnwHEdkDOgtOVeg0KSKMRHRunZUjm2w2,Suncat,Grafika,50x70cm,Praca wykonana techniką kolażu
2022-10-31 08:13:27,Maria jagłowska/ naczyniaki ceramika ,https://drive.google.com/open?id=1eOLninM82fsClC9El8oEll29VtpGTVRP,Psychożaba,Ceramika,17cm wysokości (bez żarówki),"Najlepiej, gdyby na wystawie była możliwość podłączenia jej do prądu :)","Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 09:27:26,Hanna Ilczyszyn,https://drive.google.com/open?id=1TScyopfVzcxYprxLPr56vCmJgH1ZovHQ,Dziewczyna z kotem,Malarstwo,80/60 cm,Akryl i olej na plotnie,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 09:43:29,Ola szmida,https://drive.google.com/open?id=155oaCI4TnoAFGEjsTyb2wGfDUzkAxOPb,Dog Person,Grafika,A3+,Druk pigmentowy na archiwalnym papierze,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 10:02:38,Aneta Czapla - Paciorkowska,https://drive.google.com/open?id=1NR71kO3abap5p8T2ICyDjdX084uJrEax,Nadkot,Inne,50x70 cm,Praca wykonana ręcznie w technice kolażu analogowego. Zeskanowa i wydrukowana.,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 10:10:10,Klaudia Kozińska,https://drive.google.com/open?id=19pNzZr4RmFye3r_CBTk5RW3MDFOL8jiX,motyle,Grafika,50x70cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 10:43:30,MONIfaktura (Monika Sikorska),https://drive.google.com/open?id=1hl5qbn7JLcXwd4Ady3tuxFmPvBjiLLaG,"Broszka ceramiczna ""Psia krew""",Ceramika,7 cm,"Broszka wykonana z gliny, pokryta czarnym i brązowym szkliwem. Baza broszki ze stali chirurgicznej, podklejona miękkim filcem. ","Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 11:50:13,Michał Stępień,https://drive.google.com/open?id=1P_NcBHDjen_9HHgaeK10Dk5EQd6Muefh,Psy,Grafika,"A3 42 cm x 29,7 cm",,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 13:08:50,Weronika Cholewa,https://drive.google.com/open?id=1fSXU24LHgZeOuSR9_NS6_K0m17v8KhDu,Psinka,"Grafika, Inne",30cm x 40cm,"druk cyfrowy, praca rysowana na tablecie graficznym - moja pierwsza ilustracja z pieskiem ","Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 14:02:54,Gosia Nowak,https://drive.google.com/open?id=1aE660u9X-eBy3SzCk-Mjf8Zy_VzswOU3,Czary Mary,Inne,40 x 50 cm,"Ilustracja wykonana cyfrowo, wydruk jakości fine art",Tak,https://drive.google.com/open?id=13nQ3HK6og7JItqC-pN_Ps9Amyur3OUQ1,Koty Kwiaty,Inne,40 x 50 cm,"Ilustracja wykonana cyfrowo, wydruk jakości fine art.","Nie, wyślij formularz",,,,,
2022-10-31 15:43:33,Marysia Panas,https://drive.google.com/open?id=1rtf8kNwkhoTFMUSJJ8IljZXKsmEDENqq,Zając szarak,Grafika,30x40,Wydruk fine art na papierze 220g o wyczuwalnej fakturze,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 16:06:49,Monika Ostrowska,https://drive.google.com/open?id=19CC-gabz23_CgWNsn3gqsxTrRlgeKa3N,What a wonderful feeling to live,Grafika,30x40cm,"- technika - kolaż
- druk pigmentowy na archiwalnym papierze o gramaturze 300 g/m2. Przy ekspozycji we wnętrzach tego rodzaju druk przetrwa nawet 100 lat 
- grafika ręcznie sygnowana i numerowana na odwrocie (egz. 5/100+2AP)
- cena wywoławcza 150 pln","Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 18:02:34,Wiktoria Janik,https://drive.google.com/open?id=1ub2MbTnIXPNd9BjPJEoIIXCKb5R3JDgF,Bieszczadzkie krówki,Malarstwo,30x40,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 19:57:41,Neszka Szatkowska,"https://drive.google.com/open?id=1gwxqcgrYynvtqjyUV3IdzZ51SpuDhSge, https://drive.google.com/open?id=18H6apQnP9uDEglqBghkPSaGEK-xwUPP2, https://drive.google.com/open?id=1uK--KfOoL523IIj18rsNLH8DPIE6z78F, https://drive.google.com/open?id=1XQ16hXy0d84hjgD4jV46Vez-xxL7PvrJ",(mon)keynote,Grafika,50x70 cm,"Praca jest drukowana na ekologicznym, upcyklingowym papierze 250 g, lekko beżowym, z widocznymi drobinkami.","Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 20:07:28,Lubek,https://drive.google.com/open?id=1MLPOlDZsDCZ8gM5XbxPgVEtWoHpVJlHW,blush pink,Inne,25x20cm,rysunek kredkami,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 20:23:21,Kaja Wojtyga,https://drive.google.com/open?id=1DpOKBIMxw6Zc0Ru7nQazrtulf_x0QDhz,Love I,Inne,50x70,digital media,Tak,https://drive.google.com/open?id=1tHahFtDzwAkr6qWplCmXcmp9mM2YV1DE,Love II,Inne,50x70,digital media,"Nie, wyślij formularz",,,,,
2022-10-31 20:45:07,Pola Melnyczuk,https://drive.google.com/open?id=1WRZXjbKSTnDD3-efZY6vJvzxjnb6lvzt,Pies odpoczywający w słońcu,Malarstwo,40x40,Olej i akryl na płótnie ,"Nie, wyślij formularz",,,,,,,,,,,
